data,ora,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,giorno,alba,tramonto,lunghezzadelgiorno,tmin,tmax,pioggia
20/02/20,05:48:30,80,21,23,36,65,64,0.09044585987261146,giovedì,07:00:00,17:47:00,10:46:00,5.5,17.0,0.0
21/02/20,05:48:30,76,17,23,36,77,62,0.08236808236808237,venerdì,06:59:00,17:48:00,10:49:00,5.4,17.1,0.0
22/02/20,07:59:00,80,20,22,38,90,61,0.08992805755395683,sabato,06:57:00,17:50:00,10:52:00,7.0,16.4,0.0
23/02/20,07:59:00,83,22,18,43,102,61,0.09460946094609461,domenica,06:56:00,17:51:00,10:55:00,7.7,16.7,0.0
24/02/20,05:47:30,80,19,24,37,119,64,0.07051282051282051,lunedì,06:54:00,17:52:00,10:57:00,10.8,16.7,0.0
25/02/20,05:28:30,78,21,21,36,73,62,0.07822685788787484,martedì,06:53:00,17:53:00,11:00:00,9.9,17.9,0.0
26/02/20,05:29:00,81,22,22,37,91,62,0.07544581618655692,mercoledì,06:51:00,17:54:00,11:03:00,6.1,17.4,2.2
27/02/20,05:29:00,78,22,21,35,93,63,0.10204081632653061,giovedì,06:50:00,17:56:00,11:06:00,4.2,14.9,1.2
28/02/20,05:29:00,78,20,22,36,91,62,0.07222222222222222,venerdì,06:48:00,17:57:00,11:08:00,9.9,17.9,0.0
29/02/20,08:59:30,84,21,21,42,118,62,0.09971236816874401,sabato,06:47:00,17:58:00,11:11:00,7.4,16.0,0.0
01/03/20,10:53:30,87,23,20,44,140,62,0.13459950454170108,domenica,06:45:00,17:59:00,11:14:00,11.1,15.3,5.7
02/03/20,05:36:00,81,23,19,39,106,63,0.08845738942826321,lunedì,06:43:00,18:00:00,11:17:00,9.4,15.8,5.4
03/03/20,05:29:00,78,21,21,36,39,66,0.07954545454545454,martedì,06:42:00,18:02:00,11:19:00,7.7,13.3,0.0
04/03/20,05:42:30,79,19,23,37,107,66,0.06315789473684211,mercoledì,06:40:00,18:03:00,11:22:00,6.1,16.6,0.0
05/03/20,05:49:00,77,23,17,37,122,64,0.10135970333745364,giovedì,06:39:00,18:04:00,11:25:00,6.1,15.7,0.0
06/03/20,05:49:00,81,21,23,37,96,66,0.07662337662337662,venerdì,06:37:00,18:05:00,11:28:00,10.4,15.4,4.4
07/03/20,07:30:30,85,20,22,43,126,64,0.10379550735863671,sabato,06:35:00,18:06:00,11:31:00,7.6,16.5,0.0
08/03/20,09:33:00,80,19,17,44,105,63,0.12111017661900757,domenica,06:34:00,18:07:00,11:33:00,6.9,18.2,0.0
09/03/20,05:48:00,76,17,23,36,77,65,0.08622908622908623,lunedì,06:32:00,18:09:00,11:36:00,6.0,15.9,5.4
11/03/20,06:34:30,80,22,20,38,83,64,0.08669108669108669,mercoledì,06:29:00,18:11:00,11:42:00,7.5,18.0,0.0
12/03/20,07:16:30,79,19,22,38,88,64,0.08710033076074973,giovedì,06:27:00,18:12:00,11:45:00,8.4,17.2,0.0
13/03/20,06:48:00,81,22,22,37,96,64,0.08523409363745499,venerdì,06:25:00,18:13:00,11:47:00,10.2,15.8,0.0
14/03/20,08:06:00,91,23,21,47,160,64,0.0873440285204991,sabato,06:24:00,18:14:00,11:50:00,11.7,16.3,0.0
