data,ora,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,giorno,alba,tramonto,lunghezzadelgiorno,tmin,tmax,pioggia
13/11/19,05:28:00,76,18,22,36,83,60,0.08653846153846154,mercoledì,06:57:00,16:50:00,09:53:00,10.3,16.9,2.4
14/11/19,05:30:00,75,19,21,35,84,60,0.09285714285714286,giovedì,06:58:00,16:49:00,09:50:00,11.2,16.9,2.0
15/11/19,05:28:00,72,17,23,32,68,61,0.08452950558213716,venerdì,06:59:00,16:48:00,09:48:00,13.9,18.5,40.7
16/11/19,10:09:30,88,20,22,46,111,60,0.0811541929666366,sabato,07:01:00,16:47:00,09:46:00,13.0,19.1,1.6
17/11/19,09:17:30,50,10,10,30,124,59,0.11958762886597939,domenica,06:45:00,17:01:00,10:16:00,16.1,22.1,13.2
18/11/19,05:29:00,79,21,22,36,81,62,0.09392265193370165,lunedì,07:03:00,16:46:00,09:42:00,9.0,16.5,16.7
19/11/19,05:24:30,75,17,23,35,81,62,0.0907840440165062,martedì,07:04:00,16:45:00,09:40:00,11.7,16.6,4.7
20/11/19,05:29:00,73,16,23,34,75,60,0.07228915662650602,mercoledì,07:05:00,16:44:00,09:38:00,10.0,16.4,5.6
21/11/19,05:28:00,79,22,21,36,92,61,0.08502024291497975,giovedì,07:07:00,16:44:00,09:36:00,9.7,13.9,9.4
22/11/19,05:39:30,74,16,23,35,65,61,0.07725321888412018,venerdì,07:08:00,16:43:00,09:35:00,10.1,17.2,2.8
23/11/19,09:01:30,87,24,21,42,148,63,0.09807692307692308,sabato,07:09:00,16:42:00,09:33:00,12.8,18.4,26.8
24/11/19,08:29:30,77,19,21,37,86,65,0.10023866348448687,domenica,07:10:00,16:42:00,09:31:00,12.4,14.5,26.0
25/11/19,05:28:30,73,15,23,35,89,64,0.08595988538681948,lunedì,07:11:00,16:41:00,09:29:00,11.2,18.7,0.2
26/11/19,05:29:00,75,17,22,36,81,63,0.08719346049046321,martedì,07:12:00,16:41:00,09:28:00,10.4,19.4,0.0
27/11/19,09:17:30,50,10,10,30,124,59,0.11958762886597939,mercoledì,06:45:00,17:01:00,10:16:00,16.1,22.1,13.2
28/11/19,05:24:00,74,19,22,33,59,61,0.08571428571428572,giovedì,07:15:00,16:40:00,09:25:00,14.2,17.7,0.2
29/11/19,05:48:00,77,20,20,37,66,61,0.06692913385826772,venerdì,07:16:00,16:39:00,09:23:00,11.6,17.6,0.0
30/11/19,09:17:30,50,10,10,30,124,59,0.11958762886597939,sabato,06:45:00,17:01:00,10:16:00,16.1,22.1,13.2
01/12/19,09:17:30,50,10,10,30,124,59,0.11958762886597939,domenica,06:45:00,17:01:00,10:16:00,16.1,22.1,13.2
02/12/19,09:17:30,50,10,10,30,124,59,0.11958762886597939,lunedì,06:45:00,17:01:00,10:16:00,16.1,22.1,13.2
03/12/19,05:47:30,81,22,22,37,99,63,0.07722007722007722,martedì,07:20:00,16:38:00,09:18:00,9.0,15.7,0.4
04/12/19,05:42:00,80,21,22,37,94,63,0.08897742363877822,mercoledì,07:21:00,16:38:00,09:16:00,5.6,14.8,0.0
05/12/19,05:28:00,77,17,24,36,73,64,0.06751054852320675,giovedì,07:22:00,16:38:00,09:15:00,7.3,17.3,0.0
06/12/19,05:38:30,77,18,23,36,80,64,0.0847457627118644,venerdì,07:23:00,16:38:00,09:14:00,8.9,17.7,0.4
07/12/19,08:13:30,85,21,22,42,123,64,0.08891108891108891,sabato,07:24:00,16:38:00,09:13:00,10.9,17.0,1.2
08/12/19,09:07:00,77,19,19,39,85,64,0.09559613319011816,domenica,07:25:00,16:38:00,09:12:00,10.9,17.2,0.4
09/12/19,05:44:30,71,18,22,31,68,64,0.08345752608047691,lunedì,07:26:00,16:38:00,09:11:00,10.1,15.9,2.4
10/12/19,05:40:00,79,21,21,37,114,65,0.08597883597883597,martedì,07:27:00,16:38:00,09:10:00,6.9,15.1,0.0
11/12/19,05:46:00,74,17,22,35,70,65,0.08683853459972862,mercoledì,07:27:00,16:38:00,09:10:00,5.9,13.5,0.0
12/12/19,06:18:30,77,18,23,36,95,64,0.08543922984356198,giovedì,07:28:00,16:38:00,09:09:00,4.9,13.3,2.4
13/12/19,06:23:30,68,18,22,28,84,64,0.091324200913242,venerdì,07:29:00,16:38:00,09:08:00,4.5,15.3,18.7
14/12/19,06:29:30,78,18,24,36,89,64,0.06649282920469361,sabato,07:30:00,16:38:00,09:08:00,6.2,15.3,0.0
15/12/19,06:22:00,80,22,22,36,99,64,0.09115646258503401,domenica,07:31:00,16:38:00,09:07:00,8.2,18.4,0.0
16/12/19,05:47:30,67,16,22,29,67,64,0.09346991037131883,lunedì,07:31:00,16:39:00,09:07:00,11.9,17.7,0.0
17/12/19,06:39:30,70,18,14,38,101,64,0.08805790108564536,martedì,07:32:00,16:39:00,09:06:00,13.0,18.1,0.0
18/12/19,05:44:30,82,22,23,37,98,65,0.06684141546526867,mercoledì,07:33:00,16:39:00,09:06:00,13.3,18.5,0.0
19/12/19,05:29:00,75,19,23,33,64,65,0.07680722891566265,giovedì,07:33:00,16:40:00,09:06:00,10.2,16.5,1.2
20/12/19,05:49:00,82,21,24,37,78,66,0.05398110661268556,venerdì,07:34:00,16:40:00,09:06:00,8.0,15.4,1.8
21/12/19,11:35:30,91,23,22,46,120,66,0.08847926267281106,sabato,07:34:00,16:41:00,09:06:00,11.6,17.7,14.6
22/12/19,11:34:00,85,24,18,43,139,66,0.15251299826689774,domenica,07:35:00,16:41:00,09:06:00,12.2,16.5,13.9
23/12/19,05:28:00,80,21,23,36,76,66,0.05698778833107191,lunedì,07:38:00,16:50:00,09:11:00,4.7,14.5,0.0
24/12/19,05:48:30,77,16,23,38,104,65,0.07421875,martedì,07:36:00,16:42:00,09:06:00,6.9,15.5,0.0
25/12/19,08:53:00,82,23,19,40,110,65,0.10402355250245339,mercoledì,07:36:00,16:43:00,09:06:00,7.5,16.8,0.0
26/12/19,09:17:30,50,10,10,30,124,59,0.11958762886597939,giovedì,06:45:00,17:01:00,10:16:00,16.1,22.1,13.2
27/12/19,09:17:30,50,10,10,30,124,59,0.11958762886597939,venerdì,06:45:00,17:01:00,10:16:00,16.1,22.1,13.2
28/12/19,09:46:00,93,24,22,47,130,68,0.07156673114119923,sabato,07:37:00,16:45:00,09:07:00,4.6,12.8,0.0
29/12/19,07:58:30,85,21,21,43,116,68,0.08539094650205761,domenica,07:37:00,16:46:00,09:08:00,3.3,11.1,0.0
30/12/19,05:30:30,75,17,22,36,71,68,0.08256880733944955,lunedì,07:38:00,16:46:00,09:08:00,3.1,11.2,0.0
31/12/19,05:52:00,81,21,23,37,73,65,0.064,martedì,07:38:00,16:47:00,09:09:00,2.4,12.1,0.0
01/01/20,09:15:30,76,21,21,34,72,65,0.08344370860927153,mercoledì,07:38:00,16:48:00,09:09:00,3.3,14.1,0.0
02/01/20,05:29:00,77,21,21,35,86,65,0.05898876404494382,giovedì,07:38:00,16:49:00,09:10:00,6.3,16.4,0.0
03/01/20,05:28:00,80,21,23,36,76,66,0.05698778833107191,venerdì,07:38:00,16:50:00,09:11:00,4.7,14.5,0.0
04/01/20,05:28:00,80,21,23,36,76,66,0.05698778833107191,sabato,07:38:00,16:50:00,09:11:00,4.7,14.5,0.0
05/01/20,10:41:30,84,22,21,41,104,67,0.08687440982058546,domenica,07:38:00,16:51:00,09:13:00,5.6,16.1,0.0
06/01/20,08:14:00,87,21,23,43,75,69,0.0700836820083682,lunedì,07:38:00,16:52:00,09:14:00,4.1,12.0,0.0
07/01/20,05:29:00,72,19,21,32,64,68,0.0958904109589041,martedì,07:38:00,16:53:00,09:15:00,2.9,12.7,0.0
08/01/20,05:26:30,76,20,23,33,68,67,0.07297297297297298,mercoledì,07:38:00,16:54:00,09:16:00,4.8,14.8,0.0
09/01/20,05:23:00,80,20,22,38,93,67,0.07212713936430318,giovedì,07:38:00,16:55:00,09:17:00,3.4,14.6,0.0
10/01/20,05:33:30,83,23,23,37,115,66,0.07850707850707851,venerdì,07:38:00,16:56:00,09:18:00,6.6,17.0,0.0
11/01/20,08:54:00,90,23,21,46,118,65,0.07911683532658693,sabato,07:37:00,16:58:00,09:20:00,4.8,14.9,0.0
12/01/20,09:06:00,82,21,23,38,105,66,0.07457627118644068,domenica,07:37:00,16:59:00,09:21:00,4.9,14.8,0.0
13/01/20,05:29:30,78,21,22,35,75,68,0.0846262341325811,lunedì,07:37:00,17:00:00,09:23:00,5.2,15.7,0.0
14/01/20,05:28:00,80,21,23,36,76,66,0.05698778833107191,martedì,07:38:00,16:50:00,09:11:00,4.7,14.5,0.0
15/01/20,05:48:30,78,18,23,37,74,66,0.08789808917197452,mercoledì,07:36:00,17:02:00,09:26:00,4.2,15.4,0.0
16/01/20,05:28:00,80,21,23,36,76,66,0.05698778833107191,giovedì,07:38:00,16:50:00,09:11:00,4.7,14.5,0.0
17/01/20,05:29:00,79,21,23,35,74,66,0.09379509379509379,venerdì,07:35:00,17:04:00,09:29:00,4.6,15.1,0.0
18/01/20,08:39:00,93,24,22,47,147,65,0.08943862987630828,sabato,07:34:00,17:06:00,09:31:00,6.2,13.2,14.6
19/01/20,05:28:00,80,21,23,36,76,66,0.05698778833107191,domenica,07:38:00,16:50:00,09:11:00,4.7,14.5,0.0
20/01/20,05:09:00,75,17,23,35,84,64,0.07580174927113703,lunedì,07:33:00,17:08:00,09:34:00,7.6,12.9,0.0
21/01/20,05:29:00,77,19,22,36,76,66,0.08321775312066575,martedì,07:33:00,17:09:00,09:36:00,5.9,17.1,0.0
22/01/20,07:22:00,82,20,23,39,103,65,0.08225108225108226,mercoledì,07:32:00,17:10:00,09:38:00,5.2,16.2,0.0
23/01/20,05:29:00,81,21,23,37,81,65,0.05787348586810229,giovedì,07:31:00,17:12:00,09:40:00,5.7,16.2,0.2
24/01/20,07:13:00,83,22,22,39,102,65,0.09188544152744631,venerdì,07:31:00,17:13:00,09:42:00,7.2,12.6,0.0
25/01/20,08:39:00,82,19,22,41,87,66,0.0959040959040959,sabato,07:30:00,17:14:00,09:44:00,9.4,16.2,3.4
26/01/20,08:25:00,86,23,21,42,115,65,0.08488612836438923,domenica,07:29:00,17:15:00,09:46:00,8.6,16.0,0.0
27/01/20,05:28:00,80,21,23,36,76,66,0.05698778833107191,lunedì,07:38:00,16:50:00,09:11:00,4.7,14.5,0.0
28/01/20,05:39:00,71,19,22,30,78,65,0.09198423127463863,martedì,07:27:00,17:18:00,09:50:00,8.7,13.8,1.6
29/01/20,09:17:30,50,10,10,30,124,59,0.11958762886597939,mercoledì,06:45:00,17:01:00,10:16:00,16.1,22.1,13.2
30/01/20,05:29:00,76,18,23,35,79,64,0.08390646492434663,giovedì,07:26:00,17:20:00,09:54:00,6.7,15.9,0.0
31/01/20,05:43:30,80,21,23,36,65,64,0.07450980392156863,venerdì,07:25:00,17:22:00,09:57:00,10.2,14.4,0.0
01/02/20,08:42:00,77,21,21,35,63,63,0.07127882599580712,sabato,07:24:00,17:23:00,09:59:00,11.1,15.1,0.0
02/02/20,05:28:00,80,21,23,36,76,66,0.05698778833107191,domenica,07:38:00,16:50:00,09:11:00,4.7,14.5,0.0
03/02/20,05:28:00,74,19,23,32,81,66,0.07378335949764521,lunedì,07:22:00,17:26:00,10:03:00,10.0,18.3,0.0
04/02/20,05:28:30,81,22,22,37,90,66,0.08935611038107753,martedì,07:20:00,17:27:00,10:06:00,8.0,18.2,0.0
05/02/20,05:28:30,81,22,22,37,103,65,0.07238605898123325,mercoledì,07:19:00,17:28:00,10:08:00,4.4,13.5,0.0
06/02/20,05:29:00,76,19,22,35,57,66,0.09694555112881806,giovedì,07:18:00,17:29:00,10:11:00,4.8,13.6,0.0
07/02/20,05:29:00,75,17,23,35,83,66,0.07254623044096728,venerdì,07:17:00,17:31:00,10:13:00,3.3,14.8,0.0
08/02/20,09:02:00,88,24,20,44,136,67,0.09176984705025491,sabato,07:16:00,17:32:00,10:16:00,2.9,15.3,0.0
09/02/20,09:37:00,94,25,23,46,163,68,0.08224299065420561,domenica,07:15:00,17:33:00,10:18:00,5.9,16.1,1.2
10/02/20,05:29:00,72,17,20,35,88,69,0.08321579689703808,lunedì,07:14:00,17:35:00,10:20:00,9.0,13.8,0.4
11/02/20,05:25:30,73,17,22,34,105,68,0.08085106382978724,martedì,07:12:00,17:36:00,10:23:00,10.2,18.7,0.0
12/02/20,05:29:00,82,22,23,37,87,65,0.06786703601108034,mercoledì,07:11:00,17:37:00,10:26:00,7.8,17.9,0.0
13/02/20,05:28:30,78,21,21,36,80,63,0.08767123287671233,giovedì,07:10:00,17:38:00,10:28:00,7.0,15.7,0.0
14/02/20,05:49:00,80,22,23,35,99,64,0.0796221322537112,venerdì,07:08:00,17:40:00,10:31:00,10.6,18.4,0.4
15/02/20,08:30:30,88,25,21,42,155,62,0.09300095877277086,sabato,07:07:00,17:41:00,10:33:00,7.8,17.5,0.0
16/02/20,08:44:30,85,22,22,41,97,63,0.09161041465766634,domenica,07:06:00,17:42:00,10:36:00,5.7,16.5,0.0
17/02/20,07:32:30,83,23,21,39,123,64,0.10032017075773746,lunedì,07:04:00,17:43:00,10:39:00,6.5,16.7,0.0
18/02/20,05:28:00,73,17,23,33,87,64,0.06954102920723226,martedì,07:03:00,17:45:00,10:41:00,7.9,15.2,0.2
19/02/20,05:23:00,73,19,23,31,86,63,0.07729468599033816,mercoledì,07:02:00,17:46:00,10:44:00,8.5,14.4,3.4
20/02/20,05:48:30,80,21,23,36,65,64,0.09044585987261146,giovedì,07:00:00,17:47:00,10:46:00,5.5,17.0,0.0
21/02/20,05:48:30,76,17,23,36,77,62,0.08236808236808237,venerdì,06:59:00,17:48:00,10:49:00,5.4,17.1,0.0
22/02/20,07:59:00,80,20,22,38,90,61,0.08992805755395683,sabato,06:57:00,17:50:00,10:52:00,7.0,16.4,0.0
23/02/20,07:59:00,83,22,18,43,102,61,0.09460946094609461,domenica,06:56:00,17:51:00,10:55:00,7.7,16.7,0.0
24/02/20,05:47:30,80,19,24,37,119,64,0.07051282051282051,lunedì,06:54:00,17:52:00,10:57:00,10.8,16.7,0.0
25/02/20,05:28:30,78,21,21,36,73,62,0.07822685788787484,martedì,06:53:00,17:53:00,11:00:00,9.9,17.9,0.0
26/02/20,05:29:00,81,22,22,37,91,62,0.07544581618655692,mercoledì,06:51:00,17:54:00,11:03:00,6.1,17.4,2.2
27/02/20,05:29:00,78,22,21,35,93,63,0.10204081632653061,giovedì,06:50:00,17:56:00,11:06:00,4.2,14.9,1.2
28/02/20,05:29:00,78,20,22,36,91,62,0.07222222222222222,venerdì,06:48:00,17:57:00,11:08:00,9.9,17.9,0.0
29/02/20,08:59:30,84,21,21,42,118,62,0.09971236816874401,sabato,06:47:00,17:58:00,11:11:00,7.4,16.0,0.0
01/03/20,10:53:30,87,23,20,44,140,62,0.13459950454170108,domenica,06:45:00,17:59:00,11:14:00,11.1,15.3,5.7
02/03/20,05:36:00,81,23,19,39,106,63,0.08845738942826321,lunedì,06:43:00,18:00:00,11:17:00,9.4,15.8,5.4
03/03/20,05:29:00,78,21,21,36,39,66,0.07954545454545454,martedì,06:42:00,18:02:00,11:19:00,7.7,13.3,0.0
04/03/20,05:42:30,79,19,23,37,107,66,0.06315789473684211,mercoledì,06:40:00,18:03:00,11:22:00,6.1,16.6,0.0
05/03/20,05:49:00,77,23,17,37,122,64,0.10135970333745364,giovedì,06:39:00,18:04:00,11:25:00,6.1,15.7,0.0
06/03/20,05:49:00,81,21,23,37,96,66,0.07662337662337662,venerdì,06:37:00,18:05:00,11:28:00,10.4,15.4,4.4
07/03/20,07:30:30,85,20,22,43,126,64,0.10379550735863671,sabato,06:35:00,18:06:00,11:31:00,7.6,16.5,0.0
08/03/20,09:33:00,80,19,17,44,105,63,0.12111017661900757,domenica,06:34:00,18:07:00,11:33:00,6.9,18.2,0.0
09/03/20,05:48:00,76,17,23,36,77,65,0.08622908622908623,lunedì,06:32:00,18:09:00,11:36:00,6.0,15.9,5.4
10/03/20,05:28:00,80,21,23,36,76,66,0.05698778833107191,martedì,07:38:00,16:50:00,09:11:00,4.7,14.5,0.0
11/03/20,06:34:30,80,22,20,38,83,64,0.08669108669108669,mercoledì,06:29:00,18:11:00,11:42:00,7.5,18.0,0.0
12/03/20,07:16:30,79,19,22,38,88,64,0.08710033076074973,giovedì,06:27:00,18:12:00,11:45:00,8.4,17.2,0.0
13/03/20,06:48:00,81,22,22,37,96,64,0.08523409363745499,venerdì,06:25:00,18:13:00,11:47:00,10.2,15.8,0.0
14/03/20,08:06:00,91,23,21,47,160,64,0.0873440285204991,sabato,06:24:00,18:14:00,11:50:00,11.7,16.3,0.0
15/03/20,08:58:30,81,17,22,42,101,63,0.10316649642492338,domenica,06:22:00,18:15:00,11:53:00,9.4,17.7,0.0
16/03/20,06:59:00,77,18,21,38,97,62,0.08983451536643026,lunedì,06:20:00,18:17:00,11:56:00,8.3,17.4,0.0
17/03/20,05:28:00,80,21,23,36,76,66,0.05698778833107191,martedì,07:38:00,16:50:00,09:11:00,4.7,14.5,0.0
18/03/20,06:45:00,83,21,22,40,94,62,0.07647740440324449,mercoledì,06:17:00,18:19:00,12:0:002:00,9.0,19.3,0.0
19/03/20,06:54:00,79,20,20,39,91,62,0.08333333333333333,giovedì,06:15:00,18:20:00,12:04:00,9.9,19.8,0.0
20/03/20,07:09:30,80,19,22,39,111,62,0.07119386637458927,venerdì,06:13:00,18:21:00,12:07:00,8.8,18.3,0.0
21/03/20,08:44:30,84,20,22,42,134,61,0.08439646712463199,sabato,06:12:00,18:22:00,12:10:00,8.0,18.2,0.0
22/03/20,08:19:00,86,21,22,43,122,61,0.0769980506822612,domenica,06:10:00,18:23:00,12:13:00,9.2,19.0,2.6
23/03/20,06:25:30,77,18,23,36,104,61,0.09415971394517282,lunedì,06:08:00,18:24:00,12:16:00,5.5,14.0,0.0
24/03/20,06:44:00,82,22,21,39,94,60,0.08775731310942579,martedì,06:07:00,18:26:00,12:19:00,1.9,10.4,0.0
25/03/20,06:50:00,81,18,22,41,92,59,0.0764904386951631,mercoledì,06:05:00,18:27:00,12:21:00,1.0,12.9,2.4
26/03/20,06:59:30,72,22,19,31,105,59,0.08391608391608392,giovedì,06:03:00,18:28:00,12:24:00,4.5,12.2,22.6
27/03/20,07:10:30,84,22,23,39,121,61,0.073512252042007,venerdì,06:01:00,18:29:00,12:27:00,8.6,15.6,1.6
28/03/20,08:42:30,92,24,21,47,140,60,0.08270042194092828,sabato,06:00:00,18:30:00,12:30:00,9.5,16.7,2.4
29/03/20,09:27:00,86,23,21,42,120,60,0.09805735430157261,domenica,06:58:00,19:31:00,12:33:00,8.8,16.8,0.0
30/03/20,06:51:30,80,20,22,38,72,60,0.10011123470522804,lunedì,06:56:00,19:32:00,12:35:00,9.3,18.5,0.0
31/03/20,05:54:00,73,20,21,32,76,60,0.0887218045112782,martedì,06:55:00,19:33:00,12:38:00,6.2,18.5,0.0
01/04/20,06:49:00,74,17,22,35,74,60,0.07863695937090433,mercoledì,06:53:00,19:34:00,12:41:00,4.4,14.5,0.0
02/04/20,06:44:00,84,23,22,39,119,60,0.07957244655581948,giovedì,06:51:00,19:36:00,12:44:00,4.1,14.5,0.0
03/04/20,06:40:00,79,20,21,38,114,60,0.06928406466512702,venerdì,06:50:00,19:37:00,12:47:00,5.0,16.0,0.0
04/04/20,08:55:00,92,24,21,47,128,60,0.08854667949951876,sabato,06:48:00,19:38:00,12:49:00,6.6,19.3,0.0
05/04/20,08:27:00,85,22,23,40,133,61,0.09561752988047809,domenica,06:46:00,19:39:00,12:52:00,9.0,22.4,0.0
06/04/20,06:54:30,72,18,21,33,77,61,0.12546583850931678,lunedì,06:45:00,19:40:00,12:55:00,11.1,20.5,0.0
07/04/20,06:55:00,74,19,23,32,88,60,0.08309037900874636,martedì,06:43:00,19:41:00,12:58:00,9.4,20.0,0.0
08/04/20,06:49:30,76,19,21,36,91,60,0.1059850374064838,mercoledì,06:41:00,19:42:00,13:00:00,10.4,20.4,0.0
09/04/20,06:24:00,74,18,21,35,75,59,0.09654350417163289,giovedì,06:40:00,19:43:00,13:03:00,9.8,19.7,0.0
10/04/20,06:19:30,81,24,19,38,127,58,0.09048178613396005,venerdì,06:38:00,19:44:00,13:06:00,9.3,20.2,0.0
11/04/20,08:29:30,89,22,21,46,100,59,0.09701492537313433,sabato,06:36:00,19:45:00,13:09:00,10.2,21.5,0.0
12/04/20,08:42:00,84,20,22,42,130,59,0.08845738942826321,domenica,06:35:00,19:47:00,13:11:00,10.6,20.2,0.0
13/04/20,07:59:00,83,18,22,43,94,59,0.08384458077709611,lunedì,06:33:00,19:48:00,13:14:00,11.9,21.1,0.0
14/04/20,06:38:30,76,20,22,34,87,58,0.10947930574098798,martedì,06:32:00,19:49:00,13:17:00,11.16,9.0,4.4
15/04/20,06:24:00,74,16,22,36,87,58,0.08464328899637243,mercoledì,06:30:00,19:50:00,13:19:00,7.8,17.6,0.0
16/04/20,06:22:00,83,21,22,40,107,57,0.06408544726301736,giovedì,06:28:00,19:51:00,13:22:00,8.6,18.9,0.0
17/04/20,06:14:30,76,21,19,36,80,57,0.09290322580645162,venerdì,06:27:00,19:52:00,13:25:00,9.6,20.1,0.0
18/04/20,08:39:00,85,23,20,42,118,59,0.08618899273104881,sabato,06:25:00,19:53:00,13:27:00,13.1,19.7,0.0
19/04/20,08:49:00,83,21,21,41,107,60,0.10171198388721048,domenica,06:24:00,19:54:00,13:30:00,14.4,21.7,0.0
20/04/20,06:17:30,76,19,22,35,92,59,0.0912751677852349,lunedì,06:22:00,19:55:00,13:33:00,14.1,20.2,15.0
21/04/20,06:31:00,82,22,23,37,104,59,0.08841843088418432,martedì,06:21:00,19:56:00,13:35:00,15.0,20.3,0.2
22/04/20,06:14:00,80,22,22,36,101,58,0.07373868046571798,mercoledì,06:19:00,19:58:00,13:38:00,12.7,17.0,11.0
23/04/20,08:46:00,86,21,20,45,119,59,0.12829845313921748,giovedì,06:18:00,19:59:00,13:40:00,13.0,20.0,0.2
24/04/20,06:38:30,74,22,20,32,93,59,0.12718786464410736,venerdì,06:16:00,20:00:00,13:43:00,10.9,20.2,0.0
25/04/20,08:16:00,94,25,22,47,153,58,0.07992202729044834,sabato,06:15:00,20:01:00,13:46:00,11.7,20.5,0.0
26/04/20,08:44:30,83,19,22,42,103,59,0.10785340314136126,domenica,06:13:00,20:02:00,13:48:00,10.2,21.2,0.0
27/04/20,06:23:30,76,19,22,35,106,58,0.09796437659033079,lunedì,06:12:00,20:03:00,13:51:00,12.0,21.2,0.2
28/04/20,06:25:00,78,19,22,37,84,57,0.08526187576126674,martedì,06:11:00,20:04:00,13:53:00,13.8,20.7,0.0
29/04/20,06:27:30,72,22,19,31,89,57,0.09590643274853801,mercoledì,06:09:00,20:05:00,13:55:00,12.7,21.0,0.0
30/04/20,07:08:30,58,15,21,22,65,58,0.11432706222865413,giovedì,06:08:00,20:06:00,13:58:00,12.2,21.7,0.0
