Data,Giorno_della_settimana,Alba,Tramonto,Lunghezza_giorno
2020/04/17,venerdì,06:27,19:52,13:25
2020/04/18,sabato,06:25,19:53,13:27
2020/04/19,domenica,06:24,19:54,13:30
2020/04/20,lunedì,06:22,19:55,13:33
2020/04/21,martedì,06:21,19:56,13:35
2020/04/22,mercoledì,06:19,19:58,13:38
2020/04/23,giovedì,06:18,19:59,13:40
2020/04/24,venerdì,06:16,20:00,13:43
2020/04/25,sabato,06:15,20:01,13:46
2020/04/26,domenica,06:13,20:02,13:48
2020/04/27,lunedì,06:12,20:03,13:51
2020/04/28,martedì,06:11,20:04,13:53
2020/04/29,mercoledì,06:09,20:05,13:55
2020/04/30,giovedì,06:08,20:06,13:58
