Stazione,Data,Dato_pluviometrico_giornaliero
Pomezia ,15/12/2019,0
Pomezia ,16/12/2019,0
Pomezia ,17/12/2019,0
Pomezia ,18/12/2019,0
Pomezia ,19/12/2019,1.2
Pomezia ,20/12/2019,1.8
Pomezia ,21/12/2019,14.6
Pomezia ,22/12/2019,13.9
Pomezia ,23/12/2019,9.2
Pomezia ,24/12/2019,0
Pomezia ,25/12/2019,0
Pomezia ,26/12/2019,0
Pomezia ,27/12/2019,0
Pomezia ,28/12/2019,0
Pomezia ,29/12/2019,0
Pomezia ,30/12/2019,0
Pomezia ,31/12/2019,0
Pomezia ,01/01/2020,0
Pomezia ,02/01/2020,0
Pomezia ,03/01/2020,0
Pomezia ,04/01/2020,0
Pomezia ,05/01/2020,0
Pomezia ,06/01/2020,0
Pomezia ,07/01/2020,0
Pomezia ,08/01/2020,0
Pomezia ,09/01/2020,0
Pomezia ,10/01/2020,0
Pomezia ,11/01/2020,0
Pomezia ,12/01/2020,0
Pomezia ,13/01/2020,0
Pomezia ,14/01/2020,0
Pomezia ,15/01/2020,0
Pomezia ,16/01/2020,0
Pomezia ,17/01/2020,0
Pomezia ,18/01/2020,14.6
Pomezia ,19/01/2020,0
Pomezia ,20/01/2020,0
Pomezia ,21/01/2020,0
Pomezia ,22/01/2020,0
Pomezia ,23/01/2020,0.2
Pomezia ,24/01/2020,0
Pomezia ,25/01/2020,3.4
Pomezia ,26/01/2020,0
Pomezia ,27/01/2020,5
Pomezia ,28/01/2020,1.6
Pomezia ,29/01/2020,0
Pomezia ,30/01/2020,0
Pomezia ,31/01/2020,0
Pomezia ,01/02/2020,0
Pomezia ,02/02/2020,0
Pomezia ,03/02/2020,0
Pomezia ,04/02/2020,0
Pomezia ,05/02/2020,0
Pomezia ,06/02/2020,0
Pomezia ,07/02/2020,0
Pomezia ,08/02/2020,0
Pomezia ,09/02/2020,1.2
Pomezia ,10/02/2020,0.4
Pomezia ,11/02/2020,0
Pomezia ,12/02/2020,0
Pomezia ,13/02/2020,0
Pomezia ,14/02/2020,0.4
Pomezia ,15/02/2020,0
Pomezia ,16/02/2020,0
Pomezia ,17/02/2020,0
Pomezia ,18/02/2020,0.2
Pomezia ,19/02/2020,3.4
Pomezia ,20/02/2020,0
Pomezia ,21/02/2020,0
Pomezia ,22/02/2020,0
Pomezia ,23/02/2020,0
Pomezia ,24/02/2020,0
Pomezia ,25/02/2020,0
Pomezia ,26/02/2020,2.2
Pomezia ,27/02/2020,1.2
Pomezia ,28/02/2020,0
Pomezia ,29/02/2020,0
Pomezia ,01/03/2020,5.7
Pomezia ,02/03/2020,5.4
Pomezia ,03/03/2020,0
Pomezia ,04/03/2020,0
Pomezia ,05/03/2020,0
Pomezia ,06/03/2020,4.4
Pomezia ,07/03/2020,0
Pomezia ,08/03/2020,0
Pomezia ,09/03/2020,5.4
Pomezia ,10/03/2020,0
Pomezia ,11/03/2020,0
Pomezia ,12/03/2020,0
Pomezia ,13/03/2020,0
Pomezia ,14/03/2020,0
Pomezia ,15/03/2020,0
Pomezia ,16/03/2020,0
Pomezia ,17/03/2020,0
Pomezia ,18/03/2020,0
Pomezia ,19/03/2020,0
Pomezia ,20/03/2020,0
Pomezia ,21/03/2020,0
Pomezia ,22/03/2020,2.6
Pomezia ,23/03/2020,0
Pomezia ,24/03/2020,0
Pomezia ,25/03/2020,2.4
Pomezia ,26/03/2020,22.6
Pomezia ,27/03/2020,1.6
Pomezia ,28/03/2020,2.4
Pomezia ,29/03/2020,0
Pomezia ,30/03/2020,0
Pomezia ,31/03/2020,0
Pomezia ,01/04/2020,0
Pomezia ,02/04/2020,0
Pomezia ,03/04/2020,0
Pomezia ,04/04/2020,0
Pomezia ,05/04/2020,0
Pomezia ,06/04/2020,0
Pomezia ,07/04/2020,0
Pomezia ,08/04/2020,0
Pomezia ,09/04/2020,0
Pomezia ,10/04/2020,0
Pomezia ,11/04/2020,0
Pomezia ,12/04/2020,0
Pomezia ,13/04/2020,0
Pomezia ,14/04/2020,4.4
Pomezia ,15/04/2020,0
Pomezia ,16/04/2020,0
Pomezia ,17/04/2020,0
Pomezia ,18/04/2020,0
Pomezia ,19/04/2020,0
Pomezia ,20/04/2020,15
Pomezia ,21/04/2020,0.2
Pomezia ,22/04/2020,11
Pomezia ,23/04/2020,0.2
Pomezia ,24/04/2020,0
Pomezia ,25/04/2020,0
Pomezia ,26/04/2020,0
Pomezia ,27/04/2020,0.2
Pomezia ,28/04/2020,0
Pomezia ,29/04/2020,0
Pomezia ,30/04/2020,0
